Source,Target,Weight,Other source,Other target,Other weight,Another source,Another target,Another weight
Aemon,Grenn,5,Tyrion,Gregor,22,Catelyn,Cersei,4
Aemon,Samwell,31,Tyrion,Ilyn,5,Catelyn,Edmure,16
Aerys,Jaime,18,Tyrion,Janos,5,Catelyn,Hoster,9
Aerys,Robert,6,Tyrion,Kevan,11,Catelyn,Jaime,19
Aerys,Tyrion,5,Tyrion,Loras,6,Catelyn,Jeyne,10
Aerys,Tywin,8,Tyrion,Mace,9,Catelyn,Lysa,8
Alliser,Mance,5,Tyrion,Margaery,7,Catelyn,Petyr,5
Amory,Oberyn,5,Tyrion,Meryn,5,Catelyn,Robb,43
Arya,Anguy,11,Tyrion,Oberyn,25,Catelyn,Roose,4
Arya,Beric,23,Tyrion,Petyr,12,Catelyn,Roslin,6
Arya,Bran,9,Tyrion,Podrick,28,Catelyn,Sansa,8
Arya,Brynden,6,Tyrion,Pycelle,11,Catelyn,Stannis,4
Arya,Cersei,5,Tyrion,Renly,6,Catelyn,Tyrion,5
Arya,Gendry,43,Tyrion,Robert,9,Catelyn,Walder,19
Arya,Gregor,7,Tyrion,Sandor,4,Cersei,Brienne,5
Arya,Jaime,11,Tyrion,Shae,21,Cersei,Bronn,4
Arya,Joffrey,6,Tyrion,Stannis,6,Cersei,Elia,4
Arya,Jon,7,Tyrion,Varys,18,Cersei,Gregor,6
Arya,Rickon,8,Tywin,Balon,5,Cersei,Ilyn,7
Arya,Robert,4,Tywin,Brynden,4,Cersei,Jaime,36
Arya,Roose,5,Tywin,Cersei,16,Cersei,Joffrey,23
Arya,Sandor,46,Tywin,Gregor,7,Cersei,Meryn,10
Arya,Thoros,18,Tywin,Jaime,13,Cersei,Pycelle,4
Arya,Tyrion,5,Tywin,Joffrey,13,Cersei,Robert,16
Balon,Loras,4,Tywin,Kevan,14,Cersei,Sandor,6
Belwas,Barristan,18,Tywin,Mace,5,Cersei,Shae,4
Belwas,Illyrio,10,Tywin,Oberyn,6,Cersei,Tyrion,46
Beric,Anguy,4,Tywin,Petyr,4,Cersei,Varys,4
Beric,Gendry,4,Tywin,Podrick,5,Craster,Karl,6
Beric,Thoros,21,Tywin,Pycelle,5,Daario,Drogo,4
Bran,Hodor,96,Tywin,Robert,11,Daario,Irri,5
Bran,Jojen,46,Tywin,Stannis,15,Daenerys,Aegon,8
Bran,Jon,12,Tywin,Tommen,4,Daenerys,Barristan,20
Bran,Luwin,4,Tywin,Tyrion,39,Daenerys,Belwas,26
Bran,Meera,54,Tywin,Val,4,Daenerys,Daario,14
Bran,Nan,14,Tywin,Varys,6,Daenerys,Drogo,18
Bran,Rickon,35,Tywin,Walder,4,Daenerys,Irri,17
Bran,Samwell,11,Val,Dalla,7,Daenerys,Jorah,47
Bran,Theon,11,Varys,Pycelle,4,Daenerys,Kraznys,10
Brienne,Loras,7,Viserys,Rhaegar,7,Daenerys,Missandei,26
Bronn,Gregor,5,Viserys,Tyrion,4,Daenerys,Rakharo,7
Bronn,Podrick,19,Walder,Lothar,12,Daenerys,Rhaegar,12
Brynden,Lothar,4,Walder,Petyr,6,Daenerys,Robert,5
Brynden,Walder,5,Walder,Roslin,6,Daenerys,Viserys,8
Catelyn,Bran,4,Walton,Jaime,10,Daenerys,Worm,14
Catelyn,Brienne,7,Ygritte,Qhorin,7,Davos,Cressen,4
Catelyn,Brynden,8,Ygritte,Rattleshirt,9,Davos,Salladhor,16
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Eddard,Beric,8,,,,,,
Eddard,Bran,15,,,,,,
Eddard,Catelyn,5,,,,,,
Eddard,Cersei,6,,,,,,
Eddard,Jaime,6,,,,,,
Eddard,Jon,8,,,,,,
Eddard,Rickon,8,,,,,,
Eddard,Robb,13,,,,,,
Eddard,Robert,10,,,,,,
Eddard,Sandor,5,,,,,,
Eddard,Sansa,6,,,,,,
Eddison,Grenn,8,,,,,,
Edmure,Brynden,7,,,,,,
Edmure,Lothar,4,,,,,,
Edmure,Roslin,16,,,,,,
Edmure,Walder,9,,,,,,
Gendry,Thoros,7,,,,,,
Gilly,Craster,17,,,,,,
Gregor,Elia,9,,,,,,
Gregor,Ilyn,7,,,,,,
Gregor,Meryn,7,,,,,,
Gregor,Oberyn,24,,,,,,
Gregor,Sandor,12,,,,,,
Hodor,Jojen,35,,,,,,
Hodor,Meera,41,,,,,,
Hoster,Edmure,9,,,,,,
Irri,Drogo,7,,,,,,
Jaime,Balon,6,,,,,,
Jaime,Barristan,4,,,,,,
Jaime,Brienne,88,,,,,,
Jaime,Edmure,5,,,,,,
Jaime,Elia,4,,,,,,
Jaime,Gregor,6,,,,,,
Jaime,Joffrey,15,,,,,,
Jaime,Loras,16,,,,,,
Jaime,Meryn,11,,,,,,
Jaime,Qyburn,11,,,,,,
Jaime,Renly,7,,,,,,
Jaime,Robert,17,,,,,,
Jaime,Stannis,5,,,,,,
Jaime,Tommen,8,,,,,,
Jaime,Tyrion,31,,,,,,
Janos,Alliser,9,,,,,,
Janos,Bowen,5,,,,,,
Janos,Mance,4,,,,,,
Joffrey,Gregor,5,,,,,,
Joffrey,Ilyn,4,,,,,,
Joffrey,Kevan,8,,,,,,
Joffrey,Loras,7,,,,,,
Joffrey,Margaery,28,,,,,,
Joffrey,Meryn,5,,,,,,
Joffrey,Myrcella,5,,,,,,
Joffrey,Oberyn,4,,,,,,
Joffrey,Sandor,14,,,,,,
Joffrey,Stannis,10,,,,,,
Joffrey,Tommen,9,,,,,,
Joffrey,Tyrion,54,,,,,,
Jojen,Meera,33,,,,,,
Jojen,Samwell,11,,,,,,
Jon,Aemon,30,,,,,,
Jon,Alliser,15,,,,,,
Jon,Craster,7,,,,,,
Jon,Dalla,6,,,,,,
Jon,Eddison,4,,,,,,
Jon,Gilly,9,,,,,,
Jon,Grenn,25,,,,,,
Jon,Janos,8,,,,,,
Jon,Mance,69,,,,,,
Jon,Meera,4,,,,,,
Jon,Melisandre,7,,,,,,
Jon,Orell,6,,,,,,
Jon,Qhorin,31,,,,,,
Jon,Rattleshirt,20,,,,,,
Jon,Robert,5,,,,,,
Jon,Samwell,52,,,,,,
Jon,Stannis,9,,,,,,
Jon,Styr,16,,,,,,
Jon,Theon,8,,,,,,
Jon,Val,12,,,,,,
Jon,Ygritte,54,,,,,,
Jon Arryn,Lysa,5,,,,,,
Jon Arryn,Robert,6,,,,,,
Jorah,Barristan,11,,,,,,
Jorah,Belwas,13,,,,,,
Jorah,Daario,7,,,,,,
Jorah,Drogo,6,,,,,,
Kevan,Lancel,7,,,,,,
Kevan,Varys,5,,,,,,
Loras,Margaery,9,,,,,,
Loras,Olenna,5,,,,,,
Lothar,Roslin,4,,,,,,
Luwin,Nan,4,,,,,,
Lysa,Cersei,4,,,,,,
Lysa,Hoster,6,,,,,,
Lysa,Marillion,10,,,,,,
Lysa,Petyr,29,,,,,,
Lysa,Robert Arryn,9,,,,,,
Lysa,Tyrion,5,,,,,,
Lysa,Tywin,4,,,,,,
Mance,Craster,11,,,,,,
Mance,Dalla,8,,,,,,
Mance,Gilly,7,,,,,,
Mance,Qhorin,10,,,,,,
Mance,Rattleshirt,9,,,,,,
Mance,Styr,7,,,,,,
Mance,Val,8,,,,,,
Mance,Ygritte,12,,,,,,
Meera,Samwell,7,,,,,,
Melisandre,Davos,30,,,,,,
Melisandre,Samwell,5,,,,,,
Meryn,Ilyn,5,,,,,,
Missandei,Irri,4,,,,,,
Myrcella,Tommen,5,,,,,,
Myrcella,Tyrion,4,,,,,,
Oberyn,Ellaria,6,,,,,,
Oberyn,Mace,6,,,,,,
Podrick,Margaery,4,,,,,,
Rattleshirt,Qhorin,6,,,,,,
Renly,Loras,8,,,,,,
Renly,Margaery,7,,,,,,
Renly,Varys,4,,,,,,
Rhaegar,Barristan,5,,,,,,
Rhaegar,Elia,7,,,,,,
Rhaegar,Jorah,5,,,,,,
Rhaegar,Robert,6,,,,,,
Rickard,Brynden,4,,,,,,
Rickon,Theon,8,,,,,,
Robb,Arya,15,,,,,,
